Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,CO,01/01/2012 00:00,0.2,mg m-3,R
BL0,CO,02/01/2012 00:00,0.2,mg m-3,R
BL0,CO,03/01/2012 00:00,0.2,mg m-3,R
BL0,CO,04/01/2012 00:00,0.2,mg m-3,R
BL0,CO,05/01/2012 00:00,0.2,mg m-3,R
BL0,CO,06/01/2012 00:00,0.2,mg m-3,R
BL0,CO,07/01/2012 00:00,0.2,mg m-3,R
BL0,CO,08/01/2012 00:00,0.3,mg m-3,R
BL0,CO,09/01/2012 00:00,0.2,mg m-3,R
BL0,CO,10/01/2012 00:00,0.2,mg m-3,R
BL0,CO,11/01/2012 00:00,0.2,mg m-3,R
BL0,CO,12/01/2012 00:00,0.2,mg m-3,R
BL0,CO,13/01/2012 00:00,0.2,mg m-3,R
BL0,CO,14/01/2012 00:00,0.4,mg m-3,R
BL0,CO,15/01/2012 00:00,0.3,mg m-3,R
BL0,CO,16/01/2012 00:00,0.6,mg m-3,R
BL0,CO,17/01/2012 00:00,0.5,mg m-3,R
BL0,CO,18/01/2012 00:00,0.2,mg m-3,R
BL0,CO,19/01/2012 00:00,0.3,mg m-3,R
BL0,CO,20/01/2012 00:00,0.2,mg m-3,R
BL0,CO,21/01/2012 00:00,0.2,mg m-3,R
BL0,CO,22/01/2012 00:00,0.2,mg m-3,R
BL0,CO,23/01/2012 00:00,0.2,mg m-3,R
BL0,CO,24/01/2012 00:00,0.3,mg m-3,R
BL0,CO,25/01/2012 00:00,0.2,mg m-3,R
BL0,CO,26/01/2012 00:00,0.2,mg m-3,R
BL0,CO,27/01/2012 00:00,0.3,mg m-3,R
BL0,CO,28/01/2012 00:00,0.2,mg m-3,R
BL0,CO,29/01/2012 00:00,0.2,mg m-3,R
BL0,CO,30/01/2012 00:00,0.4,mg m-3,R
BL0,CO,31/01/2012 00:00,0.4,mg m-3,R
BL0,CO,01/02/2012 00:00,0.2,mg m-3,R
BL0,CO,02/02/2012 00:00,0.3,mg m-3,R
BL0,CO,03/02/2012 00:00,0.4,mg m-3,R
BL0,CO,04/02/2012 00:00,0.3,mg m-3,R
BL0,CO,05/02/2012 00:00,0.2,mg m-3,R
BL0,CO,06/02/2012 00:00,0.4,mg m-3,R
BL0,CO,07/02/2012 00:00,,mg m-3,R
BL0,CO,08/02/2012 00:00,0.3,mg m-3,R
BL0,CO,09/02/2012 00:00,0.4,mg m-3,R
BL0,CO,10/02/2012 00:00,0.3,mg m-3,R
BL0,CO,11/02/2012 00:00,0.4,mg m-3,R
BL0,CO,12/02/2012 00:00,0.5,mg m-3,R
BL0,CO,13/02/2012 00:00,0.4,mg m-3,R
BL0,CO,14/02/2012 00:00,0.3,mg m-3,R
BL0,CO,15/02/2012 00:00,0.2,mg m-3,R
BL0,CO,16/02/2012 00:00,0.2,mg m-3,R
BL0,CO,17/02/2012 00:00,0.2,mg m-3,R
BL0,CO,18/02/2012 00:00,0.2,mg m-3,R
BL0,CO,19/02/2012 00:00,0.2,mg m-3,R
BL0,CO,20/02/2012 00:00,0.2,mg m-3,R
BL0,CO,21/02/2012 00:00,0.2,mg m-3,R
BL0,CO,22/02/2012 00:00,0.2,mg m-3,R
BL0,CO,23/02/2012 00:00,0.3,mg m-3,R
BL0,CO,24/02/2012 00:00,0.2,mg m-3,R
BL0,CO,25/02/2012 00:00,0.2,mg m-3,R
BL0,CO,26/02/2012 00:00,0.2,mg m-3,R
BL0,CO,27/02/2012 00:00,,mg m-3,R
BL0,CO,28/02/2012 00:00,,mg m-3,R
BL0,CO,29/02/2012 00:00,0.2,mg m-3,R
BL0,CO,01/03/2012 00:00,0.3,mg m-3,R
BL0,CO,02/03/2012 00:00,0.2,mg m-3,R
BL0,CO,03/03/2012 00:00,0.2,mg m-3,R
BL0,CO,04/03/2012 00:00,0.2,mg m-3,R
BL0,CO,05/03/2012 00:00,0.2,mg m-3,R
BL0,CO,06/03/2012 00:00,0.2,mg m-3,R
BL0,CO,07/03/2012 00:00,0.2,mg m-3,R
BL0,CO,08/03/2012 00:00,0.3,mg m-3,R
BL0,CO,09/03/2012 00:00,0.2,mg m-3,R
BL0,CO,10/03/2012 00:00,0.2,mg m-3,R
BL0,CO,11/03/2012 00:00,0.3,mg m-3,R
BL0,CO,12/03/2012 00:00,0.2,mg m-3,R
BL0,CO,13/03/2012 00:00,0.3,mg m-3,R
BL0,CO,14/03/2012 00:00,0.3,mg m-3,R
BL0,CO,15/03/2012 00:00,0.3,mg m-3,R
BL0,CO,16/03/2012 00:00,0.2,mg m-3,R
BL0,CO,17/03/2012 00:00,0.2,mg m-3,R
BL0,CO,18/03/2012 00:00,0.2,mg m-3,R
BL0,CO,19/03/2012 00:00,0.3,mg m-3,R
BL0,CO,20/03/2012 00:00,0.3,mg m-3,R
BL0,CO,21/03/2012 00:00,0.3,mg m-3,R
BL0,CO,22/03/2012 00:00,0.3,mg m-3,R
BL0,CO,23/03/2012 00:00,0.3,mg m-3,R
BL0,CO,24/03/2012 00:00,0.3,mg m-3,R
