Ozone,NO,NO2,NOX,SO2,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
48,4,52,57,5,12,9,6,11,8,6
50,7,55,65,5,15,12,4,12,9,4
66,17,48,71,3,24,20,7,12,9,8
60,20,69,96,5,20,17,6,14,10,6
66,111,82,251,8,24,19,5,14,12,6
40,81,80,205,5,22,19,4,18,15,4
40,82,71,191,5,19,18,5,16,13,5
40,79,73,193,5,21,18,3,20,18,4
22,26,75,115,5,21,17,6,23,18,6
30,24,63,94,5,17,14,5,17,13,5
44,41,71,134,5,19,15,5,16,13,6
42,123,98,285,11,20,17,6,17,13,8
14,145,84,304,8,32,29,6,33,29,8
8,167,98,348,13,44,39,10,39,35,9
32,106,86,249,8,37,32,6,36,30,7
8,230,107,457,37,45,40,9,41,36,9
4,474,174,901,27,64,58,10,59,52,10
22,34,69,120,3,43,34,11,43,31,13
42,87,84,218,13,28,22,8,13,11,8
34,64,90,180,11,24,21,5,19,14,5
38,65,75,174,5,17,14,7,12,11,6
46,105,80,241,8,19,16,5,13,11,3
34,61,101,189,11,24,22,4,17,14,4
6,122,99,277,8,27,23,6,25,20,6
36,25,65,98,8,23,16,9,21,15,8
58,36,75,122,11,19,16,6,17,13,6
44,55,88,164,19,21,18,4,16,14,6
16,100,71,214,8,29,24,6,26,21,8
16,74,61,166,8,35,29,9,32,27,9
18,97,86,224,8,67,61,8,43,37,8
20,146,86,296,16,68,61,10,72,63,11
34,75,82,197,5,46,37,9,46,36,10
46,72,88,199,5,26,23,5,23,18,6
30,142,107,308,11,37,30,9,36,28,8
22,133,94,298,13,53,43,13,49,38,13
16,79,71,191,8,34,27,8,30,24,10
4,140,98,312,13,67,57,11,45,38,12
18,146,90,314,16,54,44,12,55,42,14
32,90,94,231,11,31,28,4,23,20,5
48,180,115,390,13,53,47,9,45,36,10
24,125,92,283,19,46,35,12,45,33,14
24,106,111,272,8,75,58,18,77,58,19
2,145,124,339,11,75,56,19,77,58,21
20,114,99,273,13,34,26,11,39,27,13
52,140,105,319,13,30,25,5,26,19,7
40,123,107,296,8,20,17,4,18,14,6
32,96,109,239,11,22,17,5,19,14,6
28,55,77,159,19,22,17,7,22,16,7
64,60,101,191,8,15,12,5,12,10,7
40,120,107,291,11,22,22,3,20,18,3
50,71,92,201,11,24,22,4,24,21,6
48,20,63,92,8,18,15,4,15,12,5
56,11,55,69,8,19,14,6,17,12,6
28,76,86,203,13,26,20,8,19,15,6
32,67,84,184,11,23,18,7,25,20,7
48,82,98,208,8,27,22,10,24,20,9
36,56,90,176,8,29,22,7,29,22,8
,,,,,,,,,,
,,,,,,,,,,
48,20,59,84,5,42,34,10,40,30,11
18,126,126,308,8,73,55,18,60,44,19
8,86,92,224,16,85,66,23,75,56,23
72,37,75,113,5,66,50,17,64,49,17
48,80,82,205,5,38,36,7,16,11,7
58,86,86,218,8,30,29,4,16,13,4
46,97,90,239,8,30,26,6,31,23,8
54,117,101,281,8,23,21,8,16,14,6
