Ozone,NO,NO2,NOX,SO2,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
37,1,30,33,4,9,6,3,8,5,3
37,4,32,38,5,9,8,1,7,5,2
46,4,28,35,3,11,8,3,7,5,2
38,7,36,46,3,11,10,2,8,6,2
31,54,51,135,5,13,11,2,8,7,0
18,25,52,90,3,15,13,2,11,9,2
23,26,52,93,3,13,10,2,9,7,2
18,22,54,88,3,12,11,2,11,9,2
9,15,53,76,3,14,12,3,12,10,3
14,10,47,63,4,11,8,3,11,7,3
18,14,46,68,4,13,9,3,11,8,3
16,47,56,128,6,13,11,3,12,8,3
4,70,68,176,5,23,19,3,19,15,4
1,92,78,220,8,32,26,5,27,22,5
10,58,63,152,6,22,18,5,20,15,5
2,104,79,239,12,36,30,6,31,25,6
1,106,81,243,9,38,32,6,36,29,6
7,18,49,77,3,26,18,8,24,17,8
21,22,54,89,4,11,7,5,7,4,4
18,20,62,92,6,15,12,3,11,9,3
30,19,48,77,3,11,8,3,8,6,3
28,35,53,107,4,12,10,2,9,7,2
12,31,78,126,6,14,12,2,11,9,2
2,49,69,144,4,18,15,3,17,13,3
20,12,42,60,5,15,8,6,12,7,5
29,12,44,61,6,12,9,3,9,6,3
19,21,51,82,7,14,12,2,10,8,2
7,53,55,137,5,21,17,4,18,15,4
8,34,48,100,5,27,20,7,25,18,7
7,55,60,144,4,36,30,6,30,24,6
6,52,59,139,7,56,48,8,54,46,8
23,31,55,102,4,31,25,6,26,20,6
26,35,58,112,3,19,15,3,14,10,4
9,76,74,191,5,25,20,5,21,16,5
8,38,64,123,7,35,25,10,33,23,10
6,36,59,114,4,20,15,5,20,14,6
1,84,77,206,8,41,33,8,36,28,9
7,66,73,175,9,35,28,7,34,27,7
18,41,65,127,6,22,20,2,19,15,3
14,53,67,149,6,32,26,6,29,22,7
7,55,69,153,8,36,27,9,36,25,11
5,65,83,183,4,53,40,12,52,38,14
0,96,86,233,6,49,34,14,50,34,16
4,75,78,193,7,22,14,8,23,14,9
16,70,74,182,7,19,16,3,16,12,4
15,69,75,181,5,15,13,3,14,10,3
14,39,78,138,5,17,13,4,14,10,4
11,19,62,91,7,18,13,5,17,12,5
41,14,44,66,6,9,5,3,7,3,3
20,52,72,152,7,12,11,1,10,9,1
22,21,64,96,7,15,13,2,15,12,3
38,6,42,52,5,12,10,2,10,8,3
42,5,38,45,5,15,11,4,12,8,4
12,22,54,88,5,18,13,5,14,11,4
17,20,53,84,4,14,10,4,13,9,4
23,43,67,134,5,17,14,4,14,11,4
18,23,64,98,4,20,16,5,19,15,5
,,,,,,,,,,
,,,,,,,,,,
18,9,43,57,3,32,24,8,27,20,7
5,59,78,168,5,55,41,14,47,34,13
2,53,67,148,7,62,46,16,57,40,16
26,12,49,67,3,36,26,9,31,21,10
31,30,56,101,3,15,12,4,11,7,4
36,32,53,102,4,14,12,2,10,7,3
18,35,65,119,4,22,18,4,17,13,4
28,34,60,113,4,16,13,3,11,8,3
21,30,72,118,6,21,20,2,14,12,2
27,7,56,67,2,20,17,2,13,11,3
18,30,58,103,2,20,16,5,18,13,5
13,31,57,105,3,26,20,5,24,18,6
2,64,58,156,4,37,29,8,32,24,8
6,34,54,107,3,38,28,10,35,24,10
12,36,55,110,8,46,35,10,42,31,11
6,78,66,186,6,74,55,19,69,50,19
39,4,41,47,3,36,24,11,33,22,12
37,4,44,51,3,24,17,7,22,14,7
24,20,59,90,3,16,13,3,13,10,3
18,24,70,107,4,19,15,4,15,11,4
21,24,69,107,4,20,17,3,14,11,3
26,23,66,101,4,26,21,5,21,15,6
10,42,74,138,5,61,43,18,54,36,18
6,74,81,194,6,77,55,22,68,45,22
13,54,67,150,5,63,43,21,59,38,21
16,20,51,82,3,26,18,7,24,16,8
21,39,64,124,5,38,28,11,32,21,11
16,40,79,140,6,26,20,6,20,14,7
12,80,100,223,4,32,27,6,23,17,5
11,79,97,218,5,43,34,10,37,27,10
18,40,71,132,2,50,36,13,43,30,13
31,22,53,86,3,22,17,5,16,11,5
35,23,55,90,3,20,16,4,12,9,4
21,49,84,159,3,28,22,6,21,16,5
29,18,66,94,2,25,18,7,20,14,7
31,16,51,76,2,25,21,4,15,12,4
32,22,55,89,3,29,23,7,23,16,7
29,35,69,122,2,20,14,6,14,9,5
30,24,56,93,1,16,12,4,12,9,4
26,9,47,60,0,18,13,6,14,9,5
51,2,27,30,0,9,5,5,7,3,5
46,6,37,47,1,13,11,2,7,5,2
30,28,62,105,4,13,11,2,9,7,2
20,28,73,116,2,19,16,4,13,10,3
21,22,65,99,2,30,22,8,26,18,8
33,23,56,90,1,24,18,6,19,13,6
40,21,48,80,0,13,12,1,9,7,2
44,17,50,76,4,15,11,4,10,6,3
54,7,44,55,1,14,9,4,9,5,4
43,11,52,69,3,12,9,3,8,5,3
18,19,66,95,3,15,11,3,13,10,3
34,12,57,76,3,20,16,4,14,9,4
46,9,52,66,3,12,10,2,9,6,2
58,3,30,35,0,12,10,2,8,6,2
38,13,49,69,2,13,10,3,9,6,3
35,21,61,94,3,18,15,3,14,11,3
50,9,48,62,3,14,10,4,10,6,4
71,4,31,37,1,14,13,1,9,8,1
51,13,48,67,0,16,13,2,11,9,2
32,20,51,82,0,17,12,5,14,9,4
50,9,34,48,0,12,8,4,9,6,3
56,10,45,60,2,17,14,2,11,8,2
32,29,62,107,1,33,25,8,21,16,4
21,45,77,145,1,30,24,7,24,18,6
21,45,80,149,2,18,14,4,13,10,4
23,36,74,129,2,19,15,4,14,11,3
43,20,55,85,0,14,12,2,8,6,2
44,13,48,68,0,13,11,2,9,7,2
42,9,47,62,0,19,15,4,14,11,4
48,6,46,55,0,16,13,3,11,8,3
22,14,52,74,0,17,13,5,13,9,4
27,6,34,44,0,14,10,4,8,5,2
