Ozone,NO,NO2,NOX,SO2,CO,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
54,2,44,48,0,0.35,24,17,8,16,12,7
54,5,50,57,0,0.35,20,15,6,13,11,5
72,6,38,42,0,0.23,23,22,9,15,11,7
72,10,63,77,3,0.47,26,23,9,18,13,8
68,6,29,34,0,0.23,27,22,8,13,12,5
54,106,80,243,8,0.47,32,27,7,20,15,7
54,4,55,61,3,0.35,25,20,7,19,15,5
54,27,63,94,3,0.47,27,20,7,23,19,5
38,15,63,82,0,0.35,26,20,9,21,16,6
30,31,65,113,0,0.58,23,18,7,17,13,6
44,51,78,157,3,0.47,,,,18,13,6
50,25,67,105,3,0.35,,,,17,13,7
32,112,90,254,5,0.93,42,38,6,31,27,6
20,427,172,820,19,1.9,81,72,11,59,54,10
48,79,88,207,5,0.7,40,35,8,29,23,7
12,221,147,486,27,1.2,56,50,9,37,34,8
8,546,207,1044,21,2.2,78,68,11,52,47,9
28,19,59,88,3,0.47,53,41,14,44,34,11
50,21,61,88,8,0.47,17,12,8,13,8,7
54,12,61,80,5,0.58,32,27,7,17,14,5
66,6,29,36,3,0.81,23,20,8,17,12,7
64,9,46,54,3,0.35,26,22,6,17,13,5
42,45,80,149,3,0.47,28,24,7,17,14,4
6,152,99,325,8,1.1,38,30,8,27,24,6
46,27,78,119,3,0.7,30,21,10,20,14,8
74,16,77,101,3,0.47,22,18,8,14,10,5
48,80,82,205,11,0.7,36,30,6,17,16,6
40,30,69,115,3,0.47,34,26,8,22,19,7
32,29,71,103,3,0.47,40,33,10,34,27,9
30,66,82,180,5,0.47,42,34,10,32,29,7
34,77,77,189,8,0.58,71,63,12,65,61,9
54,27,61,103,5,0.35,,,,38,32,8
62,27,69,111,3,0.23,27,24,5,16,13,5
50,123,101,291,8,0.81,54,45,10,41,34,9
38,203,109,417,11,0.93,60,48,17,56,41,17
32,65,73,172,5,0.47,,,,,,
4,165,99,352,11,0.7,,,,,,
44,107,86,251,13,0.7,,,,52,40,15
52,14,55,73,3,0.47,,,,22,17,7
56,99,98,249,5,0.58,67,53,15,43,34,11
30,104,90,243,11,0.58,51,40,14,44,32,14
26,135,109,296,8,0.93,84,66,18,80,60,20
16,233,119,476,11,1.2,90,71,19,84,63,23
56,138,69,279,5,0.58,44,30,14,39,26,14
66,16,59,84,3,0.35,46,40,7,24,17,8
58,7,36,46,3,0.35,28,25,6,18,13,5
62,117,94,273,5,0.58,31,26,7,21,17,5
40,59,71,161,13,0.81,30,23,9,24,18,8
70,14,75,96,3,0.35,59,51,8,28,20,8
70,99,96,243,5,0.81,38,35,5,31,25,6
60,126,98,289,5,0.81,45,39,7,34,31,7
62,17,67,94,3,0.35,25,21,9,,,
60,7,46,55,3,0.35,27,19,14,16,15,8
38,27,63,86,11,0.35,23,17,7,27,15,12
44,9,55,65,5,0.47,23,16,9,27,18,10
70,44,86,153,5,0.58,39,33,11,29,21,8
52,54,92,145,5,0.7,40,31,12,26,23,8
48,17,59,78,3,0.47,33,24,10,25,16,10
,,,,,,,,,38,34,12
,,,,,,68,60,15,42,32,15
24,155,105,308,5,0.81,77,56,23,63,45,18
14,89,90,226,16,0.58,85,63,27,74,53,23
80,36,55,109,5,0.47,73,54,22,63,48,19
68,4,36,40,0,0.35,33,23,14,16,11,7
68,6,36,42,5,0.23,19,15,6,,,
58,35,98,151,3,0.58,31,24,8,23,17,7
68,11,55,63,3,0.35,25,16,17,16,15,10
72,35,99,153,13,0.47,42,36,6,33,30,6
58,10,73,80,0,0.47,35,29,9,19,15,5
52,7,48,55,3,0.58,33,21,12,25,18,9
56,133,105,306,5,0.93,52,43,11,44,37,8
16,156,80,302,8,0.81,55,43,17,40,33,11
32,41,78,130,3,0.58,62,46,17,53,40,15
34,96,88,233,51,0.7,93,63,33,74,54,20
32,210,94,415,11,0.93,97,74,25,93,67,26
64,26,52,90,3,0.58,59,38,21,52,34,20
60,5,52,55,3,0.35,63,34,29,38,27,12
68,42,92,157,3,0.58,31,26,9,25,21,9
72,87,77,210,11,0.58,34,29,10,27,21,7
72,183,122,404,11,1.5,52,45,8,32,29,6
58,52,82,153,8,0.47,44,35,15,30,23,10
52,84,96,203,13,0.58,81,58,25,71,50,24
74,155,111,329,13,0.81,101,76,28,90,64,27
74,94,80,208,13,0.58,97,68,35,86,60,29
46,22,78,101,0,0.47,41,29,13,33,24,9
70,100,78,222,21,0.58,74,54,22,65,47,20
62,72,101,199,16,0.47,36,25,11,26,18,9
80,238,124,488,,1.1,87,62,25,48,40,10
88,153,103,339,,0.81,73,61,22,56,42,16
58,29,77,107,5,0.47,72,55,22,55,42,18
80,4,38,38,3,0.23,39,31,13,33,24,9
88,66,98,199,5,0.7,39,36,8,30,27,10
86,142,92,310,8,0.7,63,54,13,40,33,9
70,92,84,226,5,0.58,52,38,14,42,30,12
66,40,61,120,5,0.35,44,32,13,38,28,10
68,7,55,63,3,0.35,46,35,13,30,23,10
82,42,80,145,3,0.35,31,22,10,23,16,8
78,5,52,55,3,0.35,26,19,9,19,13,7
54,9,57,59,0,0.35,38,29,12,27,19,9
76,2,19,23,0,0.23,22,14,9,15,7,8
90,9,52,55,3,0.35,19,15,7,14,8,6
72,30,71,105,5,0.35,22,18,8,14,13,7
68,69,80,176,3,0.58,29,24,8,24,19,7
70,25,90,113,5,0.47,48,34,14,41,29,13
82,7,65,77,3,0.35,54,36,18,44,29,16
82,6,42,46,3,0.23,23,17,12,10,9,4
80,26,71,109,3,0.35,28,23,9,13,11,7
88,6,52,54,3,0.35,23,17,11,12,7,8
84,5,50,52,3,0.35,,,,12,10,7
58,17,82,92,3,0.47,,,,19,13,8
88,31,63,111,5,0.7,,,,23,19,7
92,15,54,73,3,0.23,,,,16,11,5
94,5,34,38,3,0.7,,,,12,9,5
72,11,57,75,3,0.23,,,,14,9,5
80,7,59,61,0,0.81,,,,22,18,8
88,7,52,63,3,0.23,,,,17,12,8
104,5,33,38,0,0.23,,,,14,11,5
98,7,77,88,0,0.35,,,,17,13,4
80,7,40,50,3,0.23,,,,20,13,10
84,19,55,84,3,0.47,,,,19,15,7
94,11,52,67,8,0.35,,,,17,13,6
92,49,78,151,3,0.47,,,,43,30,14
80,11,44,57,0,0.23,,,,35,33,11
78,11,54,71,3,0.35,,,,18,13,8
76,11,57,69,0,0.23,,,,23,17,7
86,5,29,34,3,0.12,,,,15,11,7
84,17,103,130,3,0.47,,,,22,17,6
84,17,78,90,3,0.35,,,,24,17,7
92,12,61,77,0,0.35,,,,19,12,9
56,49,84,155,3,0.47,,,,21,17,7
58,10,31,42,0,0.23,,,,15,10,8
86,7,27,29,8,0.23,,,,11,10,4
96,5,61,69,0,0.23,,,,18,13,5
110,27,63,105,3,0.35,,,,25,22,11
80,5,38,44,5,0.23,,,,14,11,6
66,10,67,73,3,0.23,,,,14,11,4
82,17,55,77,5,0.23,,,,13,13,5
92,7,69,75,11,0.23,,,,30,21,9
76,22,57,86,11,0.35,,,,34,23,12
,6,34,42,3,0.35,,,,55,49,10
,4,23,25,3,0.23,,,,19,13,6
,7,36,42,3,0.23,,,,35,29,8
,10,65,67,3,0.47,,,,37,30,10
104,9,54,59,3,0.47,,,,55,44,11
98,19,78,84,3,0.47,,,,65,51,16
124,17,50,77,8,0.35,,,,58,43,17
132,6,38,40,5,0.23,,,,33,24,10
152,7,69,71,8,0.35,,,,29,22,7
134,45,94,163,5,0.47,,,,38,29,12
102,7,75,78,13,0.35,,,,39,28,11
96,17,38,65,3,0.35,,,,40,31,12
68,9,34,46,5,0.23,,,,25,17,9
80,9,52,63,3,0.35,27,21,7,,,
62,14,48,65,27,0.23,25,16,9,,,
62,5,48,52,3,0.23,25,19,6,,,
76,36,61,115,0,0.47,15,14,2,,,
86,92,59,197,5,0.58,24,22,5,,,
56,9,23,36,0,0.58,17,16,2,,,
64,12,52,67,3,0.35,16,15,4,,,
68,2,19,23,0,0.23,14,15,2,,,
86,4,48,50,3,0.23,12,12,2,,,
74,7,44,50,3,0.35,18,17,4,,,
64,12,44,63,0,0.35,,,,,,
74,9,48,59,0,0.23,10,10,1,,,
66,20,52,82,5,0.23,14,12,2,,,
78,24,67,92,11,0.23,28,23,8,,,
74,6,31,36,3,0.23,16,13,5,,,
86,2,19,19,3,0.12,19,17,3,,,
94,1,31,31,3,0.23,12,11,4,,,
86,6,34,40,16,0.47,,,,,,
86,10,82,96,8,0.35,,,,,,
96,72,80,182,5,0.47,,,,,,
82,16,69,90,3,0.35,,,,,,
74,4,27,31,3,0.23,,,,,,
70,2,21,23,3,0.23,,,,,,
76,2,33,33,3,0.23,,,,,,
80,10,44,46,8,0.23,,,,,,
64,12,36,55,13,0.23,,,,17,11,7
26,61,42,136,3,0.47,17,15,4,14,11,5
84,62,50,140,3,0.47,40,36,6,18,15,6
78,7,40,52,0,0.23,22,21,2,11,10,4
84,4,19,19,3,0.23,13,14,2,10,8,4
64,2,21,21,0,0.23,17,17,2,14,12,3
62,7,34,46,3,0.23,16,15,3,9,8,3
46,12,36,52,3,0.23,13,11,5,11,9,5
38,16,36,61,3,0.35,11,12,4,16,9,7
78,15,40,63,3,0.23,17,16,3,,,
60,25,48,84,3,0.35,20,19,3,,,
66,9,59,73,3,0.23,13,11,3,,,
66,5,63,67,3,0.35,18,17,4,,,
46,11,38,50,3,0.93,23,21,4,,,
52,11,40,52,3,0.23,17,15,3,,,
58,10,54,63,19,0.35,16,17,5,,,
60,14,36,52,8,0.23,23,17,6,,,
58,7,29,40,0,0.35,16,15,8,,,
62,6,54,55,3,0.35,22,13,10,,,
74,2,42,42,3,0.23,17,14,4,,,
46,10,29,40,3,0.23,30,30,4,,,
46,10,27,38,5,0.35,20,17,4,11,10,3
36,40,31,92,3,0.23,16,12,6,10,9,7
60,9,40,44,8,0.23,16,14,13,10,9,2
58,16,34,57,0,0.23,15,14,5,10,9,4
76,11,46,48,0,0.23,17,15,4,12,10,4
102,5,33,40,3,0.35,17,13,4,12,9,3
116,10,48,63,5,0.23,18,17,5,15,12,3
158,29,75,119,5,0.35,27,25,6,23,21,4
186,59,90,180,5,0.47,42,41,7,29,27,8
138,15,80,94,3,0.23,38,32,7,30,24,7
104,45,73,136,13,0.47,55,45,11,41,32,9
82,6,38,40,5,0.23,14,12,4,8,7,4
68,4,54,59,3,0.23,15,12,3,8,6,3
84,14,38,57,3,0.35,13,13,3,7,5,3
76,11,42,57,3,0.23,26,21,7,14,13,4
66,21,44,75,3,0.35,26,21,7,15,13,4
58,6,21,27,3,0.23,20,16,7,9,8,2
72,11,29,46,3,0.23,18,17,4,9,8,3
64,6,25,33,3,0.23,23,18,12,8,7,3
68,7,27,38,3,0.23,21,15,6,8,7,3
72,16,36,61,5,0.23,18,16,5,10,10,4
58,27,40,82,3,0.23,14,14,3,7,7,2
70,41,67,128,3,0.47,18,16,5,11,11,3
120,91,65,193,5,0.47,30,26,10,21,19,4
128,65,75,174,3,0.35,38,31,11,34,28,7
102,17,77,80,5,0.35,34,26,9,26,19,8
