Ozone,NO,NO2,NOX,SO2,CO,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
45,1,23,25,0,0.24,15,9,6,8,5,3
40,2,28,32,0,0.19,14,11,4,8,6,3
56,2,19,23,0,0.19,15,11,5,8,5,3
44,3,27,31,0,0.2,17,14,4,10,7,3
55,2,17,21,0,0.18,17,14,3,9,8,1
26,16,41,67,3,0.25,23,18,4,12,10,3
42,2,24,28,0,0.24,18,14,4,10,8,3
30,5,34,43,0,0.27,18,14,4,11,9,2
14,7,45,56,0,0.28,20,15,5,13,10,3
18,7,44,55,0,0.27,16,10,6,10,7,4
22,11,43,61,1,0.26,,,,11,8,3
28,6,35,45,0,0.24,,,,12,8,4
8,50,63,140,3,0.43,32,29,3,17,14,3
4,146,99,323,8,0.81,47,41,6,33,28,5
17,20,58,88,4,0.44,30,25,5,20,15,5
4,86,86,218,10,0.62,42,35,7,29,23,5
3,115,94,269,8,0.75,47,39,8,36,29,6
11,8,41,54,2,0.37,29,19,9,23,15,8
29,5,33,42,2,0.28,12,6,6,8,3,4
32,5,34,42,3,0.3,21,16,5,11,8,3
48,3,19,23,3,0.33,15,11,5,10,6,3
51,3,22,27,2,0.26,18,15,4,11,8,3
18,17,52,78,2,0.32,21,17,4,11,9,2
2,54,70,154,4,0.6,26,19,6,18,14,4
27,7,39,50,3,0.45,18,11,7,12,7,5
42,5,36,44,3,0.35,14,10,4,9,6,3
23,18,51,79,3,0.38,20,16,4,10,8,2
18,20,46,76,3,0.39,23,17,6,16,12,3
18,18,48,75,2,0.42,30,22,8,22,17,5
15,27,54,96,3,0.35,34,26,7,26,22,4
13,33,59,110,2,0.45,57,48,9,48,42,5
40,12,38,57,3,0.23,,,,25,21,4
44,14,39,60,3,0.17,21,18,3,13,10,3
22,38,60,117,3,0.3,30,24,5,23,18,5
15,55,64,148,5,0.44,46,34,12,40,28,11
11,25,58,97,4,0.38,,,,,,
2,99,83,235,8,0.56,,,,,,
17,39,62,122,6,0.36,,,,35,25,10
40,6,37,47,3,0.23,,,,18,13,4
21,29,57,102,4,0.35,37,31,6,28,21,7
10,38,66,125,3,0.39,41,31,10,35,24,11
8,63,81,177,4,0.56,59,45,13,51,38,14
4,78,77,197,5,0.69,61,45,16,56,39,17
13,36,52,107,1,0.39,27,17,10,22,13,9
39,7,35,46,2,0.25,28,23,5,15,11,4
42,3,24,29,0,0.24,21,16,5,12,9,3
29,15,47,70,1,0.31,23,18,5,12,9,4
19,12,47,66,4,0.35,24,17,7,16,11,5
52,2,26,29,3,0.25,17,12,5,10,6,4
42,18,38,66,1,0.3,19,16,3,12,10,2
27,37,58,114,3,0.41,26,21,5,18,14,4
43,4,35,41,0,0.26,20,14,6,,,
52,3,28,33,0,0.24,20,12,8,9,6,3
21,8,34,48,2,0.29,18,12,6,11,7,4
29,5,33,41,1,0.28,16,10,6,12,8,4
44,8,36,48,2,0.31,23,17,6,13,10,3
22,16,54,80,3,0.39,29,22,7,20,15,4
24,6,38,48,2,0.29,21,13,8,15,10,5
,,,,,,,,,22,16,6
,,,,,,38,28,10,28,21,7
8,50,72,148,3,0.51,59,44,15,50,36,14
4,47,63,135,5,0.43,68,48,19,58,41,17
32,9,38,52,2,0.34,41,28,13,30,21,10
58,2,23,26,0,0.26,18,11,7,9,6,4
63,3,19,24,1,0.22,14,10,4,,,
32,9,51,65,2,0.32,23,18,5,15,10,5
52,2,33,36,0,0.24,18,12,6,11,7,4
31,10,52,68,3,0.3,26,23,3,16,13,3
35,3,48,53,0,0.3,26,20,5,14,10,3
36,3,29,33,0,0.31,25,16,8,18,12,6
20,32,50,99,1,0.45,31,22,8,25,18,6
5,68,57,161,4,0.5,42,31,11,34,26,9
9,24,51,88,2,0.38,43,30,13,37,26,11
16,34,57,110,9,0.33,52,38,14,44,32,12
10,68,63,168,5,0.56,79,57,22,72,51,21
46,5,35,43,3,0.24,40,27,14,33,22,12
48,1,35,37,3,0.26,30,19,11,21,13,7
35,9,44,59,3,0.3,20,14,6,14,11,4
25,24,55,93,3,0.33,22,16,6,17,13,5
29,30,60,107,5,0.4,26,21,5,16,13,3
38,11,56,72,4,0.32,32,24,8,21,15,6
18,25,70,107,7,0.41,63,43,20,53,35,18
13,59,74,164,5,0.54,79,54,24,68,45,23
22,39,62,123,4,0.47,69,45,24,62,39,22
22,11,50,66,0,0.36,30,19,10,24,16,8
33,21,52,84,6,0.32,41,27,14,33,21,12
29,19,71,100,3,0.31,28,19,9,19,12,7
23,72,89,199,,0.5,39,28,11,26,20,6
33,51,65,144,,0.45,48,35,12,37,27,10
30,11,51,68,3,0.34,58,42,16,44,30,14
60,2,23,26,0,0.23,25,18,7,16,10,6
54,9,38,51,2,0.3,24,18,5,14,10,4
41,27,54,96,4,0.37,34,25,8,22,17,5
37,21,52,84,1,0.31,29,19,9,21,14,7
40,7,40,51,2,0.28,23,17,6,17,12,4
54,4,31,37,0,0.24,31,22,9,22,14,7
51,6,36,46,2,0.26,22,15,8,16,10,6
57,2,26,30,2,0.25,18,11,6,12,7,4
39,2,28,31,0,0.3,22,14,8,15,10,5
63,1,15,17,0,0.23,13,6,7,7,2,4
57,2,26,30,1,0.24,14,10,4,7,5,2
41,6,37,47,3,0.26,15,11,4,8,6,2
28,19,55,83,1,0.34,22,16,6,15,11,4
33,9,51,65,3,0.31,29,20,9,23,16,7
61,4,28,34,2,0.24,26,17,8,18,11,6
68,2,21,25,0,0.23,16,12,5,7,5,2
60,4,33,40,3,0.25,18,13,5,10,6,4
71,2,25,28,0,0.26,17,10,7,8,4,4
65,2,26,29,1,0.28,,,,7,4,3
32,6,45,54,3,0.34,,,,12,8,3
48,6,41,50,4,0.24,,,,14,10,4
65,2,28,32,0,0.17,,,,9,6,2
66,2,24,27,3,0.22,,,,8,6,2
55,5,33,41,0,0.2,,,,8,5,3
66,3,31,36,0,0.23,,,,13,10,3
72,2,29,33,0,0.21,,,,10,6,3
91,1,17,19,0,0.15,,,,8,8,1
69,3,34,39,0,0.22,,,,10,8,2
60,3,25,30,3,0.19,,,,12,7,5
68,3,23,28,3,0.21,,,,9,6,3
77,4,31,38,1,0.19,,,,11,8,3
54,9,41,55,1,0.28,,,,20,15,5
56,4,29,35,0,0.23,,,,23,17,6
57,4,33,39,3,0.2,,,,13,8,4
56,5,34,42,0,0.2,,,,15,10,4
75,2,20,24,3,0.12,,,,10,6,4
65,4,33,39,3,0.18,,,,11,8,3
56,4,38,44,0,0.25,,,,15,11,4
70,2,27,31,0,0.24,,,,12,8,4
40,6,32,41,0,0.27,,,,13,9,4
41,3,18,23,0,0.2,,,,8,6,3
76,2,16,20,1,0.14,,,,7,6,1
73,2,25,28,0,0.14,,,,10,7,2
72,4,29,36,2,0.18,,,,15,11,5
68,2,27,30,3,0.18,,,,10,7,3
48,4,32,38,2,0.18,,,,8,6,2
55,5,29,37,2,0.16,,,,10,8,2
63,3,37,42,4,0.18,,,,15,10,5
57,6,33,42,2,0.27,,,,21,14,6
,2,22,25,3,0.23,,,,23,17,6
,1,14,16,3,0.18,,,,13,9,4
