Daily Mean data	    supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Bloomsbury",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-01-01,37,V ugm-3,1,V ugm-3,30,V ugm-3,33,V ugm-3,4,V ugm-3,0.18,V mgm-3,9,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-01-02,37,V ugm-3,4,V ugm-3,32,V ugm-3,38,V ugm-3,5,V ugm-3,0.2,V mgm-3,9,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-03,46,V ugm-3,4,V ugm-3,28,V ugm-3,35,V ugm-3,3,V ugm-3,0.16,V mgm-3,11,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-04,38,V ugm-3,7,V ugm-3,36,V ugm-3,46,V ugm-3,3,V ugm-3,0.19,V mgm-3,11,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-05,31,V ugm-3,54,V ugm-3,51,V ugm-3,135,V ugm-3,5,V ugm-3,0.2,V mgm-3,13,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),0,V ugm-3 (TEOM FDMS)
2012-01-06,18,V ugm-3,25,V ugm-3,52,V ugm-3,90,V ugm-3,3,V ugm-3,0.24,V mgm-3,15,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-07,23,V ugm-3,26,V ugm-3,52,V ugm-3,93,V ugm-3,3,V ugm-3,0.25,V mgm-3,13,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-08,18,V ugm-3,22,V ugm-3,54,V ugm-3,88,V ugm-3,3,V ugm-3,0.27,V mgm-3,12,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-09,9,V ugm-3,15,V ugm-3,53,V ugm-3,76,V ugm-3,3,V ugm-3,0.25,V mgm-3,14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
