Daily Maximum data	   supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London N. Kensington",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-01-01,54,V ugm-3,2,V ugm-3,44,V ugm-3,48,V ugm-3,0,V ugm-3,0.35,V mgm-3,24,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-02,54,V ugm-3,5,V ugm-3,50,V ugm-3,57,V ugm-3,0,V ugm-3,0.35,V mgm-3,20,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-03,72,V ugm-3,6,V ugm-3,38,V ugm-3,42,V ugm-3,0,V ugm-3,0.23,V mgm-3,23,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-04,72,V ugm-3,10,V ugm-3,63,V ugm-3,77,V ugm-3,3,V ugm-3,0.47,V mgm-3,26,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-01-05,68,V ugm-3,6,V ugm-3,29,V ugm-3,34,V ugm-3,0,V ugm-3,0.23,V mgm-3,27,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-06,54,V ugm-3,106,V ugm-3,80,V ugm-3,243,V ugm-3,8,V ugm-3,0.47,V mgm-3,32,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-07,54,V ugm-3,4,V ugm-3,55,V ugm-3,61,V ugm-3,3,V ugm-3,0.35,V mgm-3,25,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-08,54,V ugm-3,27,V ugm-3,63,V ugm-3,94,V ugm-3,3,V ugm-3,0.47,V mgm-3,27,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-09,38,V ugm-3,15,V ugm-3,63,V ugm-3,82,V ugm-3,0,V ugm-3,0.35,V mgm-3,26,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
