Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HK6,NO,01/01/2012 00:00,28.1,ug m-3,R
HK6,NO,02/01/2012 00:00,25,ug m-3,R
HK6,NO,03/01/2012 00:00,28.6,ug m-3,R
HK6,NO,04/01/2012 00:00,45.1,ug m-3,R
HK6,NO,05/01/2012 00:00,37.1,ug m-3,R
HK6,NO,06/01/2012 00:00,91.7,ug m-3,R
HK6,NO,07/01/2012 00:00,65.7,ug m-3,R
HK6,NO,08/01/2012 00:00,66.5,ug m-3,R
HK6,NO,09/01/2012 00:00,88.3,ug m-3,R
HK6,NO,10/01/2012 00:00,73.7,ug m-3,R
HK6,NO,11/01/2012 00:00,75,ug m-3,R
HK6,NO,12/01/2012 00:00,67,ug m-3,R
HK6,NO,13/01/2012 00:00,72.9,ug m-3,R
HK6,NO,14/01/2012 00:00,125.1,ug m-3,R
HK6,NO,15/01/2012 00:00,64.3,ug m-3,R
HK6,NO,16/01/2012 00:00,150,ug m-3,R
HK6,NO,17/01/2012 00:00,184.7,ug m-3,R
HK6,NO,18/01/2012 00:00,70.1,ug m-3,R
HK6,NO,19/01/2012 00:00,76.1,ug m-3,R
HK6,NO,20/01/2012 00:00,81.7,ug m-3,R
HK6,NO,21/01/2012 00:00,46.6,ug m-3,R
HK6,NO,22/01/2012 00:00,43.4,ug m-3,R
HK6,NO,23/01/2012 00:00,101.2,ug m-3,R
HK6,NO,24/01/2012 00:00,122,ug m-3,R
HK6,NO,25/01/2012 00:00,58.6,ug m-3,R
HK6,NO,26/01/2012 00:00,56.1,ug m-3,R
HK6,NO,27/01/2012 00:00,101.5,ug m-3,R
HK6,NO,28/01/2012 00:00,36.1,ug m-3,R
HK6,NO,29/01/2012 00:00,40,ug m-3,R
HK6,NO,30/01/2012 00:00,44.5,ug m-3,R
HK6,NO,31/01/2012 00:00,56.2,ug m-3,R
HK6,NO,01/02/2012 00:00,43.9,ug m-3,R
HK6,NO,02/02/2012 00:00,46,ug m-3,R
HK6,NO,03/02/2012 00:00,70.9,ug m-3,R
HK6,NO,04/02/2012 00:00,71.8,ug m-3,R
HK6,NO,05/02/2012 00:00,57.5,ug m-3,R
HK6,NO,06/02/2012 00:00,133.5,ug m-3,R
