Date,Bikes in service
01/12/2011,"6,598"
02/12/2011,"6,598"
03/12/2011,"6,602"
04/12/2011,"6,602"
05/12/2011,"6,602"
06/12/2011,"6,602"
07/12/2011,"6,602"
08/12/2011,"6,602"
09/12/2011,"6,603"
10/12/2011,"6,603"
11/12/2011,"6,603"
12/12/2011,"6,603"
13/12/2011,"6,603"
14/12/2011,"6,603"
15/12/2011,"6,603"
16/12/2011,"6,603"
17/12/2011,"6,603"
18/12/2011,"6,603"
19/12/2011,"6,603"
20/12/2011,"6,603"
21/12/2011,"6,603"
22/12/2011,"6,603"
23/12/2011,"6,603"
24/12/2011,"6,603"
25/12/2011,"6,603"
26/12/2011,"6,603"
27/12/2011,"6,603"
28/12/2011,"6,603"
29/12/2011,"6,603"
30/12/2011,"6,603"
31/12/2011,"6,603"
01/01/2012,"6,603"
02/01/2012,"6,603"
03/01/2012,"6,603"
04/01/2012,"6,603"
05/01/2012,"6,603"
06/01/2012,"6,603"
07/01/2012,"6,603"
08/01/2012,"6,603"
09/01/2012,"6,603"
10/01/2012,"6,603"
11/01/2012,"6,603"
12/01/2012,"6,603"
13/01/2012,"6,603"
14/01/2012,"6,603"
15/01/2012,"6,603"
16/01/2012,"6,603"
17/01/2012,"6,603"
18/01/2012,"6,606"
19/01/2012,"6,606"
20/01/2012,"6,783"
21/01/2012,"6,608"
22/01/2012,"6,608"
23/01/2012,"6,608"
24/01/2012,"6,616"
25/01/2012,"6,616"
26/01/2012,"6,616"
27/01/2012,"6,617"
28/01/2012,"6,617"
29/01/2012,"6,617"
30/01/2012,"6,617"
31/01/2012,"6,617"
01/02/2012,"6,617"
02/02/2012,"6,619"
03/02/2012,"6,619"
04/02/2012,"6,619"
05/02/2012,"6,619"
06/02/2012,"6,619"
07/02/2012,"6,619"
08/02/2012,"6,619"
09/02/2012,"6,619"
10/02/2012,"6,619"
11/02/2012,"6,619"
12/02/2012,"6,619"
13/02/2012,"6,619"
14/02/2012,"6,619"
15/02/2012,"6,619"
16/02/2012,"6,619"
17/02/2012,"6,619"
18/02/2012,"6,619"
19/02/2012,"6,619"
20/02/2012,"6,619"
21/02/2012,"6,619"
22/02/2012,"6,619"
23/02/2012,"6,619"
24/02/2012,"6,619"
25/02/2012,"6,626"
26/02/2012,"6,671"
27/02/2012,"6,702"
28/02/2012,"6,765"
29/02/2012,"6,765"
01/03/2012,"6,765"
02/03/2012,"6,765"
03/03/2012,"6,765"
04/03/2012,"6,765"
05/03/2012,"6,765"
06/03/2012,"6,765"
07/03/2012,"6,765"
08/03/2012,
09/03/2012,
10/03/2012,"9,200"
11/03/2012,"9,200"
12/03/2012,"9,200"
13/03/2012,"9,200"
14/03/2012,"9,200"
15/03/2012,"9,200"
16/03/2012,"9,200"
17/03/2012,"9,200"
18/03/2012,"9,200"
19/03/2012,"9,200"
20/03/2012,"9,200"
21/03/2012,"9,200"
22/03/2012,"9,200"
23/03/2012,"9,200"
24/03/2012,"9,200"
25/03/2012,"9,200"
26/03/2012,"9,200"
27/03/2012,"9,200"
28/03/2012,"9,200"
29/03/2012,"9,200"
30/03/2012,"9,200"
31/03/2012,"9,200"
01/04/2012,"9,200"
02/04/2012,"9,200"
03/04/2012,"9,200"
04/04/2012,"9,200"
05/04/2012,"9,200"
06/04/2012,"9,200"
07/04/2012,"9,200"
08/04/2012,"9,200"
09/04/2012,"9,200"
10/04/2012,"9,200"
11/04/2012,"9,200"
12/04/2012,"9,202"
13/04/2012,"9,202"
14/04/2012,"9,202"
15/04/2012,"9,202"
16/04/2012,"9,202"
17/04/2012,"9,202"
18/04/2012,"9,202"
19/04/2012,"9,202"
20/04/2012,"9,202"
21/04/2012,"9,202"
22/04/2012,"9,202"
23/04/2012,"9,202"
24/04/2012,"9,202"
25/04/2012,"9,202"
26/04/2012,"9,202"
27/04/2012,"9,202"
28/04/2012,"9,202"
29/04/2012,"9,202"
30/04/2012,"9,202"
01/05/2012,"9,202"
02/05/2012,"9,202"
03/05/2012,"9,202"
04/05/2012,"9,202"
05/05/2012,"9,202"
06/05/2012,"9,202"
07/05/2012,"9,202"
08/05/2012,"9,202"
09/05/2012,"9,202"
10/05/2012,"9,202"
11/05/2012,"9,202"
12/05/2012,"9,202"
13/05/2012,"9,202"
14/05/2012,"9,202"
15/05/2012,"9,202"
16/05/2012,"9,202"
17/05/2012,"9,202"
18/05/2012,"9,202"
19/05/2012,"9,202"
20/05/2012,"9,202"
21/05/2012,"9,202"
22/05/2012,"9,202"
23/05/2012,"9,202"
24/05/2012,"9,202"
25/05/2012,"9,202"
26/05/2012,"9,202"
27/05/2012,"9,202"
28/05/2012,"9,202"
29/05/2012,"9,202"
30/05/2012,"9,202"
31/05/2012,"9,202"
01/06/2012,"9,202"
02/06/2012,"9,202"
03/06/2012,"9,202"
04/06/2012,"9,202"
05/06/2012,"9,202"
06/06/2012,"9,202"
07/06/2012,"9,202"
08/06/2012,"9,202"
09/06/2012,"9,202"
10/06/2012,"9,202"
11/06/2012,"9,202"
12/06/2012,"9,202"
13/06/2012,"9,202"
14/06/2012,"9,202"
15/06/2012,"9,202"
16/06/2012,"9,202"
17/06/2012,"9,202"
18/06/2012,"9,202"
19/06/2012,"9,202"
20/06/2012,"9,202"
21/06/2012,"9,202"
22/06/2012,"9,202"
23/06/2012,"9,202"
24/06/2012,"9,202"
25/06/2012,"9,202"
26/06/2012,"9,202"
27/06/2012,"9,202"
28/06/2012,"9,202"
29/06/2012,"9,202"
30/06/2012,"9,202"
01/07/2012,"9,202"
02/07/2012,"9,202"
03/07/2012,"9,202"
04/07/2012,"9,202"
05/07/2012,"9,202"
06/07/2012,"9,202"
07/07/2012,"9,202"
08/07/2012,"9,202"
