Asked for under FOI,,,,,Additional data,,,,,
Date,Annual member hires using a key,Member hires made through the app,Casual hires at terminal,,24 hour members using a key,,,,,
01/01/2012, 604 , -   ," 3,132 ",, 107 ,,,,,
02/01/2012," 1,512 ", -   ," 4,515 ",, 212 ,,,,,
03/01/2012," 3,373 ", -   ," 1,495 ",, 385 ,,,,,
04/01/2012," 4,480 ", -   ," 2,160 ",, 569 ,,,,,
05/01/2012," 4,638 ", -   ," 2,199 ",, 585 ,,,,,
06/01/2012," 5,241 ", -   ," 3,506 ",, 735 ,,,,,
07/01/2012," 2,468 ", -   ," 5,300 ",, 363 ,,,,,
08/01/2012," 1,958 ", -   ," 4,422 ",, 318 ,,,,,
09/01/2012," 6,031 ", -   ," 3,204 ",, 827 ,,,,,
10/01/2012," 6,311 ", -   ," 3,355 ",, 879 ,,,,,
11/01/2012," 6,537 ", -   ," 3,460 ",, 928 ,,,,,
12/01/2012," 6,391 ", -   ," 3,533 ",, 939 ,,,,,
13/01/2012," 5,883 ", -   ," 3,694 ",, 872 ,,,,,
14/01/2012," 2,491 ", -   ," 5,874 ",, 463 ,,,,,
15/01/2012," 2,184 ", -   ," 5,307 ",, 405 ,,,,,
16/01/2012," 6,031 ", -   ," 2,970 ",, 884 ,,,,,
17/01/2012," 6,204 ", -   ," 3,320 ",, 951 ,,,,,
18/01/2012," 5,729 ", -   ," 2,364 ",, 913 ,,,,,
19/01/2012," 4,658 ", -   ," 2,577 ",, 706 ,,,,,
20/01/2012," 5,782 ", -   ," 3,191 ",, 886 ,,,,,
21/01/2012," 2,515 ", -   ," 5,500 ",, 417 ,,,,,
22/01/2012," 2,180 ", -   ," 5,913 ",, 383 ,,,,,
23/01/2012," 6,249 ", -   ," 3,323 ",, 889 ,,,,,
24/01/2012," 4,207 ", -   ," 1,810 ",, 692 ,,,,,
25/01/2012," 6,374 ", -   ," 3,485 ",, 976 ,,,,,
26/01/2012," 5,823 ", -   ," 3,348 ",, 960 ,,,,,
27/01/2012," 5,940 ", -   ," 4,308 ",, 961 ,,,,,
28/01/2012," 2,450 ", -   ," 5,557 ",, 470 ,,,,,
29/01/2012," 1,970 ", -   ," 4,618 ",, 378 ,,,,,
30/01/2012," 5,844 ", -   ," 2,964 ",, 947 ,,,,,
31/01/2012," 5,818 ", -   ," 2,518 ",, 940 ,,,,,
01/02/2012," 5,936 ", -   ," 2,653 ",, 950 ,,,,,
02/02/2012," 5,479 ", -   ," 2,366 ",, 835 ,,,,,
