Site,Borough, Easting,Northing,GridRef,Lat,Lon
Aston Street,Tower Hamlets,536193,181518,TQ3619381518,51.516175,-0.038594438
Imperial Wharf Station,H&F,526277.28,176643.98,TQ2627776643,51.474665,-0.18316517
Riverlight North,Wandsworth,529524.18,177582.33,TQ2952477582,51.48237,-0.13609482
Putney Pier,Wandsworth,524000.88,175710.09,TQ2400075710,51.466783,-0.21626086
Wansey Street,Southwark,532160.27,178627.35,TQ3216078627,51.491152,-0.097764812
Boston Place,Westminster,527589.2,182009.84,TQ2758982009,51.522594,-0.16234582
Clapham Common Northside,Wandsworth,527969.71,175203.37,TQ2796975203,51.461344,-0.15933685
Binfield Road,Lambeth,530472.99,176508.88,TQ3047276508,51.472501,-0.12284667
Abyssinia Close ,Wandsworth,527435.68,175080.19,TQ2743575080,51.460359,-0.16706358
Limburg Road,Wandsworth,527553.3,175257,TQ2755375257,51.461923,-0.16530221
Page Street,Westminster,530084.91,178888.12,TQ3008478888,51.493978,-0.12755402
Rifle Place,K&C,523901.73,180429.7,TQ2390180429,51.509215,-0.21603078
Tallis Street ,City,531432.6,180916.5,TQ3143280916,51.511892,-0.10739269
Woodstock Grove,H&F,523819.67,179850.86,TQ2381979850,51.504029,-0.21741484
Sandilands Road,H&F,525680.13,176511.24,TQ2568076511,51.473611,-0.1918035
Little Brook Green,H&F,523391.86,179020.38,TQ2339179020,51.496664,-0.22386827
Hurlingham Park,H&F,524904.41,176127.16,TQ2490476127,51.470332,-0.20310631
Seymour Place,Westminster,527504.35,181755.31,TQ2750481755,51.520331,-0.16366214
Gwendwr Road,H&F,524429.82,178417.23,TQ2442978417,51.491017,-0.20913546
Ram Street,Wandsworth,525698.89,174722.25,TQ2569874722,51.45753,-0.19218
Storey's Gate,Westminster,529915.96,179632.33,TQ2991579632,51.500703,-0.12971336
Ranelagh Gardens,H&F,524653.35,175817.28,TQ2465375817,51.467601,-0.20682737
St. John's Road,Wandsworth,527343.52,175304.13,TQ2734375304,51.462393,-0.16830653
Santos Road,Wandsworth,525099.77,174654.9,TQ2509974654,51.457051,-0.20082104
Hurlingham Park,H&F,524904.41,176127.16,TQ2490476127,51.470332,-0.20310631
Broadley Terrace,Westminster,527352.69,182221.62,TQ2735282221,51.524553,-0.16568345
Mile End Park Leisure Centre,Tower Hamlets,536597.68,182021.11,TQ3659782021,51.520597,-0.032580937
Doddington Grove,Southwark,531808.81,178148.44,TQ3180878148,51.486929,-0.10301069
Humbolt Road,H&F,524261.35,177545.39,TQ2426177545,51.483217,-0.21186064
Rossmore Road,Westminster,527481.21,182304.03,TQ2748182304,51.52527,-0.16379501
Prince of Wales Drive,Wandsworth,527941.72,176738.57,TQ2794176738,51.475145,-0.15918455
Grenfell Road,K&C,523978.97,180841.17,TQ2397880841,51.512901,-0.21477709
Duke Street Hill,Southwark,532844.56,180330.78,TQ3284480330,51.506296,-0.087277772
Simpson Street,Wandsworth,527152.88,176240.24,TQ2715276240,51.470847,-0.17071806
Hammersmith Town Hall,H&F,522692.17,178554.81,TQ2269278554,51.492628,-0.2340945
Crisp Road,H&F,523223.78,178064.49,TQ2322378064,51.488109,-0.22662061
Culvert Road,Wandsworth,528044.92,176289.63,TQ2804476289,51.471087,-0.15786485
Manfred Road,Wandsworth,524735.87,174769.28,TQ2473574769,51.458165,-0.20601687
Newton Street,Camden,530481.91,181362.89,TQ3048181362,51.51612,-0.12092418
Ormonde Gate,K&C,527725.63,178159.05,TQ2772578159,51.487964,-0.16177957
Park Lane,Westminster,528436.72,180119.72,TQ2843680119,51.505418,-0.15083208
Haggerston Road,Hackney,533649.41,184027.35,TQ3364984027,51.539329,-0.074284675
Hertford Road,Hackney,533313.86,183790.37,TQ3331383790,51.537278,-0.079216258
All Saints Church,K&C,524813.41,181241.63,TQ2481381241,51.516312,-0.20260897
Hortensia Road,K&C,526110.69,177429.13,TQ2611077429,51.481766,-0.18528812
Upcerne Road,K&C,526317.5,177033.59,TQ2631777033,51.478161,-0.18245022
Blenheim Crescent,K&C,524402.58,181096.88,TQ2440281096,51.515099,-0.20858024
Sirdar Road,K&C,523996.23,180622.38,TQ2399680622,51.510929,-0.21459478
Freston Road,K&C,523650.98,180841.97,TQ2365080841,51.512973,-0.21950136
South Lambeth Road,Lambeth,530321.19,177533.14,TQ3032177533,51.481747,-0.12464175
Imperial Road,H&F,525990.27,176689.44,TQ2599076689,51.475142,-0.18727899
Ingrave Street,Wandsworth,527052.18,175859.98,TQ2705275859,51.467446,-0.17229386
Queensdale Road,H&F,523902.64,180136.72,TQ2390280136,51.506582,-0.21611923
Lots Road,K&C,526550.06,177195.93,TQ2655077195,51.479565,-0.1790389
Fulham Broadway,H&F,525501.57,177209.6,TQ2550177209,51.479924,-0.1941317
Finnis Street,Tower Hamlets,534778.32,182415.89,TQ3477882415,51.524575,-0.058631835
Cadogan Close,Tower Hamlets,536785.27,184420.82,TQ3678584420,51.54211,-0.028941989
Putney Bridge Road,Wandsworth,524709.2,175195.12,TQ2470975195,51.461999,-0.2062408
Oxford Road,Wandsworth,524270.42,175049.71,TQ2427075049,51.460783,-0.21260804
Hawley Crescent ,Camden,528860.93,184089.92,TQ2886084089,51.540998,-0.14327572
Plough Terrace,Wandsworth,526850.25,175282.22,TQ2685075282,51.462306,-0.1754072
Snowsfields,Southwark,533108.93,179876.31,TQ3310879876,51.502154,-0.083647326
Grant Road East,Wandsworth,527008.27,175574,TQ2700875574,51.464894,-0.17302926
Parsons Green,H&F,525128.73,176409.39,TQ2512876409,51.472817,-0.19978326
Michael Road,H&F,525849.99,176923.05,TQ2584976923,51.477277,-0.18922486
Bridge Avenue,H&F,523038.99,178502.34,TQ2303878502,51.492085,-0.22913126
Everington Street,H&F,523951.5,177553.45,TQ2395177553,51.483357,-0.21631994
Stephendale Road,H&F,525795.59,175914.26,TQ2579575914,51.468221,-0.19036088
St. Peter’s Terrace,H&F,524506.62,177075.08,TQ2450677075,51.47894,-0.20849969
Wendon Street,Tower Hamlets,536989.09,183749.52,TQ3698983749,51.53603,-0.026263065
