Date,Start hour,Member hires made through the app
11/05/2015,10,1
11/05/2015,13,1
11/05/2015,14,1
11/05/2015,16,1
11/05/2015,17,4
11/05/2015,18,2
11/05/2015,19,3
11/05/2015,20,4
11/05/2015,22,1
12/05/2015,7,1
12/05/2015,8,9
12/05/2015,9,4
12/05/2015,10,3
12/05/2015,11,5
12/05/2015,12,3
12/05/2015,13,3
12/05/2015,14,3
12/05/2015,15,2
12/05/2015,16,3
12/05/2015,17,16
12/05/2015,18,6
12/05/2015,19,5
12/05/2015,20,4
12/05/2015,21,2
13/05/2015,1,1
13/05/2015,5,1
13/05/2015,6,1
13/05/2015,7,6
13/05/2015,8,14
13/05/2015,9,7
13/05/2015,10,2
13/05/2015,11,5
13/05/2015,12,4
13/05/2015,13,10
13/05/2015,14,4
13/05/2015,15,4
13/05/2015,16,6
13/05/2015,17,14
13/05/2015,18,15
13/05/2015,19,8
13/05/2015,20,10
13/05/2015,21,5
13/05/2015,22,5
13/05/2015,23,2
14/05/2015,2,1
14/05/2015,6,1
14/05/2015,7,10
14/05/2015,8,12
14/05/2015,9,6
14/05/2015,10,2
14/05/2015,13,1
14/05/2015,14,1
14/05/2015,15,1
14/05/2015,16,3
14/05/2015,17,2
14/05/2015,18,8
14/05/2015,19,4
14/05/2015,20,5
14/05/2015,21,1
14/05/2015,22,1
15/05/2015,6,1
15/05/2015,7,8
15/05/2015,8,26
15/05/2015,9,7
15/05/2015,10,1
15/05/2015,11,4
15/05/2015,12,10
15/05/2015,13,9
15/05/2015,14,12
15/05/2015,15,8
15/05/2015,16,7
15/05/2015,17,26
15/05/2015,18,14
15/05/2015,19,10
15/05/2015,20,7
15/05/2015,21,1
15/05/2015,22,2
16/05/2015,3,1
16/05/2015,4,2
16/05/2015,6,1
16/05/2015,7,1
16/05/2015,8,4
16/05/2015,9,2
16/05/2015,10,5
16/05/2015,11,10
16/05/2015,12,10
16/05/2015,13,12
16/05/2015,14,14
16/05/2015,15,8
16/05/2015,16,11
16/05/2015,17,15
16/05/2015,18,7
16/05/2015,19,10
16/05/2015,20,4
16/05/2015,21,3
16/05/2015,22,3
16/05/2015,23,4
17/05/2015,0,3
17/05/2015,1,2
17/05/2015,4,2
17/05/2015,7,2
17/05/2015,8,5
17/05/2015,9,6
17/05/2015,10,2
17/05/2015,11,12
17/05/2015,12,7
17/05/2015,13,19
17/05/2015,14,21
17/05/2015,15,13
17/05/2015,16,14
17/05/2015,17,16
17/05/2015,18,11
17/05/2015,19,3
17/05/2015,20,3
17/05/2015,21,2
17/05/2015,22,2
18/05/2015,0,1
18/05/2015,1,3
18/05/2015,5,3
18/05/2015,6,1
18/05/2015,7,8
18/05/2015,8,23
18/05/2015,9,5
18/05/2015,10,1
18/05/2015,11,1
18/05/2015,12,1
18/05/2015,13,4
18/05/2015,14,3
18/05/2015,15,3
18/05/2015,16,11
18/05/2015,17,24
18/05/2015,18,20
18/05/2015,19,8
18/05/2015,20,11
18/05/2015,21,5
18/05/2015,22,4
19/05/2015,1,1
19/05/2015,4,1
19/05/2015,6,4
19/05/2015,7,10
19/05/2015,8,33
19/05/2015,9,12
19/05/2015,10,10
19/05/2015,11,5
19/05/2015,12,4
19/05/2015,13,9
19/05/2015,14,3
19/05/2015,15,5
19/05/2015,16,9
19/05/2015,17,22
19/05/2015,18,18
19/05/2015,19,12
19/05/2015,20,10
19/05/2015,21,3
19/05/2015,22,3
19/05/2015,23,4
20/05/2015,0,1
20/05/2015,3,1
20/05/2015,6,4
20/05/2015,7,15
20/05/2015,8,27
20/05/2015,9,7
20/05/2015,10,4
20/05/2015,11,3
20/05/2015,12,5
20/05/2015,13,7
20/05/2015,14,2
20/05/2015,15,6
20/05/2015,16,6
20/05/2015,17,19
20/05/2015,18,21
20/05/2015,19,8
20/05/2015,20,13
20/05/2015,21,4
20/05/2015,22,4
20/05/2015,23,2
21/05/2015,0,1
21/05/2015,1,2
21/05/2015,6,4
21/05/2015,7,11
21/05/2015,8,26
21/05/2015,9,12
21/05/2015,10,7
21/05/2015,11,4
21/05/2015,12,10
21/05/2015,13,14
21/05/2015,14,12
21/05/2015,15,7
21/05/2015,16,13
21/05/2015,17,22
21/05/2015,18,33
21/05/2015,19,17
21/05/2015,20,8
21/05/2015,21,6
21/05/2015,22,6
21/05/2015,23,6
22/05/2015,0,4
22/05/2015,2,1
22/05/2015,3,1
22/05/2015,5,1
22/05/2015,6,4
22/05/2015,7,20
22/05/2015,8,29
22/05/2015,9,21
22/05/2015,10,9
22/05/2015,11,6
22/05/2015,12,12
22/05/2015,13,10
22/05/2015,14,13
22/05/2015,15,11
22/05/2015,16,21
22/05/2015,17,16
22/05/2015,18,14
22/05/2015,19,9
22/05/2015,20,11
22/05/2015,21,4
22/05/2015,22,6
22/05/2015,23,5
23/05/2015,0,3
23/05/2015,1,2
23/05/2015,6,1
23/05/2015,7,1
23/05/2015,8,4
23/05/2015,9,10
23/05/2015,10,6
23/05/2015,11,15
23/05/2015,12,11
23/05/2015,13,4
23/05/2015,14,13
23/05/2015,15,4
23/05/2015,16,4
23/05/2015,17,9
23/05/2015,18,9
23/05/2015,19,7
23/05/2015,20,9
23/05/2015,21,3
23/05/2015,22,3
23/05/2015,23,1
24/05/2015,0,2
24/05/2015,1,1
24/05/2015,2,1
24/05/2015,3,1
24/05/2015,4,1
24/05/2015,7,3
24/05/2015,8,1
24/05/2015,9,5
24/05/2015,10,10
24/05/2015,11,14
24/05/2015,12,18
24/05/2015,13,14
24/05/2015,14,22
24/05/2015,15,12
24/05/2015,16,30
24/05/2015,17,14
24/05/2015,18,12
24/05/2015,19,12
24/05/2015,20,7
24/05/2015,21,3
24/05/2015,22,3
24/05/2015,23,4
25/05/2015,0,5
25/05/2015,1,2
25/05/2015,2,2
25/05/2015,7,2
25/05/2015,8,4
25/05/2015,9,7
25/05/2015,10,11
25/05/2015,11,8
25/05/2015,12,14
25/05/2015,13,12
25/05/2015,14,15
25/05/2015,15,14
25/05/2015,16,19
25/05/2015,17,20
25/05/2015,18,21
25/05/2015,19,12
25/05/2015,20,11
25/05/2015,21,3
25/05/2015,22,4
25/05/2015,23,3
26/05/2015,0,3
26/05/2015,1,3
26/05/2015,5,1
26/05/2015,6,2
26/05/2015,7,13
26/05/2015,8,29
26/05/2015,9,16
26/05/2015,10,9
26/05/2015,11,8
26/05/2015,12,6
26/05/2015,13,7
26/05/2015,14,16
26/05/2015,15,11
26/05/2015,16,17
26/05/2015,17,37
26/05/2015,18,33
26/05/2015,19,31
26/05/2015,20,13
26/05/2015,21,5
26/05/2015,22,12
26/05/2015,23,5
27/05/2015,0,2
27/05/2015,3,1
27/05/2015,6,5
27/05/2015,7,12
27/05/2015,8,48
27/05/2015,9,19
27/05/2015,10,12
27/05/2015,11,6
27/05/2015,12,20
27/05/2015,13,16
27/05/2015,14,19
27/05/2015,15,15
27/05/2015,16,16
27/05/2015,17,35
27/05/2015,18,38
27/05/2015,19,20
27/05/2015,20,17
27/05/2015,21,11
27/05/2015,22,4
27/05/2015,23,8
28/05/2015,0,2
28/05/2015,1,1
28/05/2015,3,1
28/05/2015,5,1
28/05/2015,6,7
28/05/2015,7,17
