Date,Start hour,Annual member hires using a key
01/01/2012,0,27
01/01/2012,1,30
01/01/2012,2,23
01/01/2012,3,25
01/01/2012,4,16
01/01/2012,5,16
01/01/2012,6,9
01/01/2012,7,9
01/01/2012,8,12
01/01/2012,9,31
01/01/2012,10,25
01/01/2012,11,56
01/01/2012,12,56
01/01/2012,13,73
01/01/2012,14,16
01/01/2012,15,14
01/01/2012,16,15
01/01/2012,17,28
01/01/2012,18,27
01/01/2012,19,24
01/01/2012,20,21
01/01/2012,21,27
01/01/2012,22,16
01/01/2012,23,12
02/01/2012,0,17
02/01/2012,1,6
02/01/2012,2,2
02/01/2012,3,1
02/01/2012,4,4
02/01/2012,5,4
02/01/2012,6,14
02/01/2012,7,16
02/01/2012,8,16
02/01/2012,9,55
02/01/2012,10,87
02/01/2012,11,135
02/01/2012,12,135
02/01/2012,13,156
02/01/2012,14,171
02/01/2012,15,173
02/01/2012,16,140
02/01/2012,17,120
02/01/2012,18,80
02/01/2012,19,58
02/01/2012,20,43
02/01/2012,21,31
02/01/2012,22,28
02/01/2012,23,21
03/01/2012,0,8
03/01/2012,1,3
03/01/2012,2,7
03/01/2012,4,3
03/01/2012,5,16
03/01/2012,6,86
03/01/2012,7,302
03/01/2012,8,551
03/01/2012,9,216
03/01/2012,10,33
03/01/2012,11,27
03/01/2012,12,30
03/01/2012,13,110
03/01/2012,14,84
03/01/2012,15,100
03/01/2012,16,235
03/01/2012,17,708
03/01/2012,18,452
03/01/2012,19,202
03/01/2012,20,84
03/01/2012,21,62
03/01/2012,22,37
03/01/2012,23,18
04/01/2012,0,10
04/01/2012,1,1
04/01/2012,3,2
04/01/2012,4,2
04/01/2012,5,12
04/01/2012,6,122
04/01/2012,7,520
04/01/2012,8,964
04/01/2012,9,359
04/01/2012,10,104
04/01/2012,11,99
04/01/2012,12,197
04/01/2012,13,172
04/01/2012,14,133
04/01/2012,15,119
04/01/2012,16,255
04/01/2012,17,726
04/01/2012,18,426
04/01/2012,19,94
04/01/2012,20,69
04/01/2012,21,30
04/01/2012,22,38
04/01/2012,23,29
05/01/2012,0,9
05/01/2012,1,1
05/01/2012,2,3
05/01/2012,3,1
05/01/2012,4,1
05/01/2012,5,16
05/01/2012,6,101
05/01/2012,7,459
05/01/2012,8,690
05/01/2012,9,359
05/01/2012,10,110
05/01/2012,11,124
05/01/2012,12,170
05/01/2012,13,145
05/01/2012,14,138
05/01/2012,15,144
05/01/2012,16,255
05/01/2012,17,752
05/01/2012,18,565
05/01/2012,19,285
05/01/2012,20,158
05/01/2012,21,72
05/01/2012,22,52
05/01/2012,23,33
06/01/2012,0,23
06/01/2012,1,4
06/01/2012,2,2
06/01/2012,4,4
06/01/2012,5,19
06/01/2012,6,126
06/01/2012,7,471
06/01/2012,8,951
06/01/2012,9,424
06/01/2012,10,137
06/01/2012,11,129
06/01/2012,12,228
06/01/2012,13,237
06/01/2012,14,194
06/01/2012,15,159
06/01/2012,16,307
06/01/2012,17,754
06/01/2012,18,523
06/01/2012,19,252
06/01/2012,20,129
06/01/2012,21,69
06/01/2012,22,51
06/01/2012,23,50
07/01/2012,0,33
07/01/2012,1,16
