Date,Start hour,Casual hires at terminal
01/01/2012,0,381
01/01/2012,1,490
01/01/2012,2,239
01/01/2012,3,160
01/01/2012,4,120
01/01/2012,5,73
01/01/2012,6,45
01/01/2012,7,32
01/01/2012,8,30
01/01/2012,9,55
01/01/2012,10,139
01/01/2012,11,234
01/01/2012,12,294
01/01/2012,13,363
01/01/2012,14,41
01/01/2012,15,22
01/01/2012,16,34
01/01/2012,17,36
01/01/2012,18,85
01/01/2012,19,62
01/01/2012,20,77
01/01/2012,21,69
01/01/2012,22,69
01/01/2012,23,58
02/01/2012,0,76
02/01/2012,1,42
02/01/2012,2,28
02/01/2012,3,35
02/01/2012,4,22
02/01/2012,5,7
02/01/2012,6,17
02/01/2012,7,27
02/01/2012,8,30
02/01/2012,9,96
02/01/2012,10,248
02/01/2012,11,368
02/01/2012,12,454
02/01/2012,13,648
02/01/2012,14,621
02/01/2012,15,578
02/01/2012,16,393
02/01/2012,17,219
02/01/2012,18,173
02/01/2012,19,142
02/01/2012,20,117
02/01/2012,21,81
02/01/2012,22,104
02/01/2012,23,42
03/01/2012,0,60
03/01/2012,1,31
03/01/2012,2,17
03/01/2012,3,3
03/01/2012,4,9
03/01/2012,5,6
03/01/2012,6,14
03/01/2012,7,41
03/01/2012,8,99
03/01/2012,9,75
03/01/2012,10,36
03/01/2012,11,23
03/01/2012,12,19
03/01/2012,13,62
03/01/2012,14,114
03/01/2012,15,142
03/01/2012,16,118
03/01/2012,17,163
03/01/2012,18,156
03/01/2012,19,102
03/01/2012,20,74
03/01/2012,21,58
03/01/2012,22,52
03/01/2012,23,35
04/01/2012,0,35
04/01/2012,1,22
04/01/2012,2,7
04/01/2012,3,7
04/01/2012,4,7
04/01/2012,5,8
04/01/2012,6,22
04/01/2012,7,72
04/01/2012,8,180
04/01/2012,9,144
04/01/2012,10,130
04/01/2012,11,167
04/01/2012,12,204
04/01/2012,13,188
04/01/2012,14,164
04/01/2012,15,156
04/01/2012,16,111
04/01/2012,17,202
04/01/2012,18,148
04/01/2012,19,52
04/01/2012,20,38
04/01/2012,21,30
04/01/2012,22,31
04/01/2012,23,51
05/01/2012,0,23
05/01/2012,1,22
05/01/2012,2,14
05/01/2012,3,23
05/01/2012,4,12
05/01/2012,5,9
05/01/2012,6,14
05/01/2012,7,65
05/01/2012,8,119
05/01/2012,9,109
05/01/2012,10,91
05/01/2012,11,134
05/01/2012,12,130
05/01/2012,13,148
05/01/2012,14,151
05/01/2012,15,141
05/01/2012,16,143
05/01/2012,17,191
05/01/2012,18,210
05/01/2012,19,160
05/01/2012,20,103
05/01/2012,21,66
05/01/2012,22,67
05/01/2012,23,64
06/01/2012,0,42
06/01/2012,1,29
06/01/2012,2,21
06/01/2012,3,23
06/01/2012,4,17
06/01/2012,5,7
06/01/2012,6,24
06/01/2012,7,74
06/01/2012,8,205
06/01/2012,9,156
06/01/2012,10,142
06/01/2012,11,203
06/01/2012,12,243
06/01/2012,13,277
06/01/2012,14,320
06/01/2012,15,246
06/01/2012,16,276
06/01/2012,17,260
06/01/2012,18,267
06/01/2012,19,184
06/01/2012,20,134
06/01/2012,21,132
06/01/2012,22,149
06/01/2012,23,103
07/01/2012,0,119
07/01/2012,1,107
07/01/2012,2,108
07/01/2012,3,74
07/01/2012,4,52
07/01/2012,5,9
07/01/2012,6,15
07/01/2012,7,16
07/01/2012,8,48
07/01/2012,9,103
07/01/2012,10,218
07/01/2012,11,293
07/01/2012,12,459
07/01/2012,13,557
07/01/2012,14,727
07/01/2012,15,631
07/01/2012,16,527
07/01/2012,17,283
07/01/2012,18,266
07/01/2012,19,187
07/01/2012,20,141
07/01/2012,21,152
07/01/2012,22,124
07/01/2012,23,132
08/01/2012,0,80
08/01/2012,1,107
08/01/2012,2,134
08/01/2012,3,90
08/01/2012,4,40
08/01/2012,5,17
08/01/2012,6,19
08/01/2012,7,16
08/01/2012,8,36
08/01/2012,9,100
08/01/2012,10,228
08/01/2012,11,339
08/01/2012,12,427
08/01/2012,13,472
08/01/2012,14,496
08/01/2012,15,523
08/01/2012,16,329
08/01/2012,17,272
08/01/2012,18,181
08/01/2012,19,147
08/01/2012,20,134
08/01/2012,21,106
08/01/2012,22,80
08/01/2012,23,96
09/01/2012,0,52
09/01/2012,1,39
09/01/2012,2,15
09/01/2012,3,21
09/01/2012,4,8
09/01/2012,5,10
09/01/2012,6,30
09/01/2012,7,94
09/01/2012,8,240
09/01/2012,9,182
09/01/2012,10,116
09/01/2012,11,135
09/01/2012,12,226
09/01/2012,13,262
09/01/2012,14,223
09/01/2012,15,246
09/01/2012,16,237
09/01/2012,17,280
09/01/2012,18,241
09/01/2012,19,178
09/01/2012,20,128
09/01/2012,21,119
09/01/2012,22,75
09/01/2012,23,71
10/01/2012,0,38
10/01/2012,1,39
10/01/2012,2,18
10/01/2012,3,16
10/01/2012,4,19
10/01/2012,5,16
10/01/2012,6,42
10/01/2012,7,121
10/01/2012,8,271
10/01/2012,9,231
10/01/2012,10,126
10/01/2012,11,157
10/01/2012,12,195
10/01/2012,13,235
10/01/2012,14,195
10/01/2012,15,239
10/01/2012,16,226
10/01/2012,17,279
10/01/2012,18,291
10/01/2012,19,202
10/01/2012,20,133
10/01/2012,21,102
10/01/2012,22,109
10/01/2012,23,82
11/01/2012,0,42
11/01/2012,1,32
11/01/2012,2,16
11/01/2012,3,14
11/01/2012,4,16
11/01/2012,5,13
11/01/2012,6,48
11/01/2012,7,112
11/01/2012,8,288
11/01/2012,9,177
11/01/2012,10,141
11/01/2012,11,163
11/01/2012,12,223
11/01/2012,13,247
11/01/2012,14,203
11/01/2012,15,236
11/01/2012,16,229
11/01/2012,17,308
11/01/2012,18,289
11/01/2012,19,222
11/01/2012,20,166
11/01/2012,21,132
11/01/2012,22,87
11/01/2012,23,90
12/01/2012,0,42
12/01/2012,1,38
12/01/2012,2,26
12/01/2012,3,15
12/01/2012,4,15
12/01/2012,5,17
12/01/2012,6,54
12/01/2012,7,122
12/01/2012,8,302
12/01/2012,9,212
12/01/2012,10,122
12/01/2012,11,140
12/01/2012,12,206
12/01/2012,13,209
12/01/2012,14,207
12/01/2012,15,267
12/01/2012,16,261
12/01/2012,17,313
12/01/2012,18,313
12/01/2012,19,211
12/01/2012,20,149
12/01/2012,21,133
12/01/2012,22,113
12/01/2012,23,88
13/01/2012,0,82
13/01/2012,1,26
13/01/2012,2,32
13/01/2012,3,22
13/01/2012,4,9
13/01/2012,5,14
13/01/2012,6,45
13/01/2012,7,90
13/01/2012,8,288
13/01/2012,9,235
13/01/2012,10,138
13/01/2012,11,164
13/01/2012,12,239
13/01/2012,13,287
13/01/2012,14,270
13/01/2012,15,319
