Date,Start hour,24 hour members using a key
01/01/2012,0,7
01/01/2012,1,6
01/01/2012,2,7
01/01/2012,3,6
01/01/2012,4,2
01/01/2012,5,2
01/01/2012,6,4
01/01/2012,8,1
01/01/2012,9,2
01/01/2012,10,4
01/01/2012,11,4
01/01/2012,12,11
01/01/2012,13,13
01/01/2012,14,1
01/01/2012,15,3
01/01/2012,16,1
01/01/2012,17,3
01/01/2012,18,4
01/01/2012,19,6
01/01/2012,20,6
01/01/2012,21,3
01/01/2012,22,6
01/01/2012,23,5
02/01/2012,0,3
02/01/2012,2,1
02/01/2012,6,2
02/01/2012,7,1
02/01/2012,8,1
02/01/2012,9,7
02/01/2012,10,12
02/01/2012,11,24
02/01/2012,12,19
02/01/2012,13,19
02/01/2012,14,17
02/01/2012,15,28
02/01/2012,16,21
02/01/2012,17,12
02/01/2012,18,9
02/01/2012,19,5
02/01/2012,20,13
02/01/2012,21,2
02/01/2012,22,10
02/01/2012,23,6
03/01/2012,0,2
03/01/2012,1,1
03/01/2012,5,1
03/01/2012,6,10
03/01/2012,7,30
03/01/2012,8,58
03/01/2012,9,22
03/01/2012,10,6
03/01/2012,11,3
03/01/2012,12,4
03/01/2012,13,14
03/01/2012,14,11
03/01/2012,15,17
03/01/2012,16,35
03/01/2012,17,77
03/01/2012,18,51
03/01/2012,19,23
03/01/2012,20,9
03/01/2012,21,6
03/01/2012,22,7
03/01/2012,23,3
04/01/2012,0,4
04/01/2012,2,1
04/01/2012,5,3
04/01/2012,6,10
04/01/2012,7,43
04/01/2012,8,104
04/01/2012,9,52
04/01/2012,10,17
04/01/2012,11,24
04/01/2012,12,29
04/01/2012,13,35
04/01/2012,14,18
04/01/2012,15,22
04/01/2012,16,32
04/01/2012,17,70
04/01/2012,18,60
04/01/2012,19,13
04/01/2012,20,14
04/01/2012,21,1
04/01/2012,22,7
04/01/2012,23,12
05/01/2012,0,3
05/01/2012,1,3
05/01/2012,2,1
05/01/2012,5,1
05/01/2012,6,5
05/01/2012,7,41
05/01/2012,8,64
05/01/2012,9,47
05/01/2012,10,18
05/01/2012,11,32
05/01/2012,12,21
05/01/2012,13,35
05/01/2012,14,22
05/01/2012,15,22
05/01/2012,16,35
05/01/2012,17,82
05/01/2012,18,69
05/01/2012,19,47
05/01/2012,20,19
05/01/2012,21,8
05/01/2012,22,5
05/01/2012,23,8
06/01/2012,0,3
06/01/2012,1,3
06/01/2012,2,2
06/01/2012,5,1
06/01/2012,6,8
06/01/2012,7,54
06/01/2012,8,113
06/01/2012,9,58
06/01/2012,10,28
06/01/2012,11,24
06/01/2012,12,28
06/01/2012,13,38
06/01/2012,14,33
06/01/2012,15,30
06/01/2012,16,41
06/01/2012,17,105
06/01/2012,18,76
06/01/2012,19,40
06/01/2012,20,18
06/01/2012,21,18
06/01/2012,22,9
06/01/2012,23,9
07/01/2012,0,9
07/01/2012,1,5
07/01/2012,3,1
07/01/2012,5,1
07/01/2012,6,1
07/01/2012,7,2
07/01/2012,8,9
07/01/2012,9,21
07/01/2012,10,17
07/01/2012,11,26
07/01/2012,12,25
07/01/2012,13,43
07/01/2012,14,34
07/01/2012,15,34
07/01/2012,16,29
07/01/2012,17,25
07/01/2012,18,19
07/01/2012,19,19
07/01/2012,20,11
07/01/2012,21,5
07/01/2012,22,16
07/01/2012,23,11
08/01/2012,0,5
08/01/2012,1,8
08/01/2012,2,3
08/01/2012,3,6
08/01/2012,4,2
08/01/2012,7,1
08/01/2012,8,6
08/01/2012,9,15
08/01/2012,10,15
08/01/2012,11,29
08/01/2012,12,29
08/01/2012,13,30
