Date,Fob,Fob.ln,Fob.ma9,Fob.ma9.res,Fob.ma9.res.lag1,Fob.ln.ma9,Fob.ln.ma9.res,Fob.ln.ma9.res.lag1,Fob.dif7,Fob.dif7.lag1,Fob.ln.dif7,Fob.ln.dif7.lag1,Card,Card.ln,Card.ma9,Card.ma9.res,Card.ma9.res.lag1,Card.ln.ma9,Card.ln.ma9.res,Card.ln.ma9.res.lag1,Card.dif7,Card.dif7.lag1,Card.ln.dif7,Card.ln.dif7.lag1,Max.air.temp,Max.air.temp.ln,Max.air.temp.ma9,Max.air.temp.ma9.res,Max.air.temp.ma9.res.lag1,Max.air.temp.ma9.res.lead1,Max.air.temp.ln.ma9,Max.air.temp.ln.ma9.res,Max.air.temp.ln.ma9.res.lag1,Max.air.temp.ln.ma9.res.lead1,Max.air.temp.dif7,Max.air.temp.dif7.lag1,Max.air.temp.dif7.lead1,Max.air.temp.ln.dif7,Max.air.temp.ln.dif7.lag1,Max.air.temp.ln.dif7.lead1,Percip,Percip.light,Percip.light.lag1,Percip.light.lead1,Percip.heavy,Percip.heavy.lag1,Percip.heavy.lead1,Percip.dif7,Percip.dif7.lag1,Percip.dif7.lead1,Rel.humid,Rel.humid.ln,Rel.humid.ma9,Rel.humid.ma9.res,Rel.humid.ma9.res.lag1,Rel.humid.ma9.res.lead1,Rel.humid.ln.ma9,Rel.humid.ln.ma9.res,Rel.humid.ln.ma9.res.lag1,Rel.humid.ln.ma9.res.lead1,Rel.humid.dif7,Rel.humid.dif7.lag1,Rel.humid.dif7.lead1,Rel.humid.ln.dif7,Rel.humid.ln.dif7.lag1,Rel.humid.ln.dif7.lead1,Avg.wind,Avg.wind.ln,Avg.wind.ma9,Avg.wind.ma9.res,Avg.wind.ma9.res.lag1,Avg.wind.ma9.res.lead1,Avg.wind.ln.ma9,Avg.wind.ln.ma9.res,Avg.wind.ln.ma9.res.lag1,Avg.wind.ln.ma9.res.lead1,Avg.wind.dif7,Avg.wind.dif7.lag1,Avg.wind.dif7.lead1,Avg.wind.ln.dif7,Avg.wind.ln.dif7.lag1,Avg.wind.ln.dif7.lead1,Daylight,Daylight.ln,Daylight.ma9,Daylight.ma9.res,Daylight.ma9.res.lag1,Daylight.ma9.res.lead1,Daylight.ln.ma9,Daylight.ln.ma9.res,Daylight.ln.ma9.res.lag1,Daylight.ln.ma9.res.lead1,Daylight.dif7,Daylight.dif7.lag1,Daylight.dif7.lead1,Daylight.ln.dif7,Daylight.ln.dif7.lag1,Daylight.ln.dif7.lead1,Ozone.mean,Ozone.mean.ln,Ozone.mean.ma9,Ozone.mean.ma9.res,Ozone.mean.ma9.res.lag1,Ozone.mean.ma9.res.lead1,Ozone.mean.ln.ma9,Ozone.mean.ln.ma9.res,Ozone.mean.ln.ma9.res.lag1,Ozone.mean.ln.ma9.res.lead1,Ozone.mean.dif7,Ozone.mean.dif7.lag1,Ozone.mean.dif7.lead1,Ozone.mean.ln.dif7,Ozone.mean.ln.dif7.lag1,Ozone.mean.ln.dif7.lead1,NOX.mean,NOX.mean.ln,NOX.mean.ma9,NOX.mean.ma9.res,NOX.mean.ma9.res.lag1,NOX.mean.ma9.res.lead1,NOX.mean.ln.ma9,NOX.mean.ln.ma9.res,NOX.mean.ln.ma9.res.lag1,NOX.mean.ln.ma9.res.lead1,NOX.mean.dif7,NOX.mean.dif7.lag1,NOX.mean.dif7.lead1,NOX.mean.ln.dif7,NOX.mean.ln.dif7.lag1,NOX.mean.ln.dif7.lead1,PM10.mean,PM10.mean.ln,PM10.mean.ma9,PM10.mean.ma9.res,PM10.mean.ma9.res.lag1,PM10.mean.ma9.res.lead1,PM10.mean.ln.ma9,PM10.mean.ln.ma9.res,PM10.mean.ln.ma9.res.lag1,PM10.mean.ln.ma9.res.lead1,PM10.mean.dif7,PM10.mean.dif7.lag1,PM10.mean.dif7.lead1,PM10.mean.ln.dif7,PM10.mean.ln.dif7.lag1,PM10.mean.ln.dif7.lead1,Bank.hol,Red.Alert,Purple.Alert
01/01/2012,604,6.403574198,,,,,,,,,,,3132,8.049427057,,,,,,,,,,,12.9,2.557227311,,,,,,,,,,,,,,,10.6,0,,0,1,,0,,,,89.45,4.49367981,,,,,,,,,,,,,,,9,2.197224577,,,,,,,,,,,,,,,28524,10.25850112,,,,,,,,,,,,,,,37,3.610917913,,,,,,,,,,,,,,,33,3.496507561,,,,,,,,,,,,,,,9,2.197224577,,,,,,,,,,,,,,,0,0,0
02/01/2012,1512,7.321188557,,,,,,,,,,,4515,8.415160466,,,,,,,,,,,8.9,2.186051277,,,,,,,,,,,,,,,0,0,0,0,0,1,1,,,,79.67083333,4.377903563,,,,,,,,,,,,,,,11,2.397895273,,,,,,,,,,,,,,,28592,10.26088224,,,,,,,,,,,,,,,37,3.610917913,,,,,,,,,,,,,,,38,3.63758616,,,,,,,,,,,,,,,9,2.197224577,,,,,,,,,,,,,,,1,0,0
03/01/2012,3373,8.123557835,,,,,,,,,,,1495,7.309881486,,,,,,,,,,,12.35,2.513656063,,,,,,,,,,,,,,,8,0,0,1,1,0,0,,,,81.23333333,4.397325672,,,,,,,,,,,,,,,17.82608696,2.880662944,,,,,,,,,,,,,,,28667,10.26350191,,,,,,,,,,,,,,,46,3.828641396,,,,,,,,,,,,,,,35,3.555348061,,,,,,,,,,,,,,,11,2.397895273,,,,,,,,,,,,,,,0,0,0
04/01/2012,4480,8.407378325,,,,,,,,,,,2160,7.677863501,,,,,,,,,,,7.9,2.066862759,,,,,,,,,,,,,,,3.8,1,0,1,0,1,0,,,,77.54583333,4.350869159,,,,,,,,,,,,,,,16.625,2.810907587,,,,,,,,,,,,,,,28748,10.26632348,,,,,,,,,,,,,,,38,3.63758616,,,,,,,,,,,,,,,46,3.828641396,,,,,,,,,,,,,,,11,2.397895273,,,,,,,,,,,,,,,0,0,0
05/01/2012,4638,8.442038518,,,,,,,,,,,2199,7.695757991,,,,,,,,,,,11.45,2.43798973,,,,,,,,,,,,,,,0.6,1,1,0,0,0,0,,,,68.60416667,4.228353272,,,,,,,,,,,,,,,20,2.995732274,,,,,,,,,,,,,,,28834,10.26931053,,,,,,,,,,,,,,,31,3.433987204,,,,,,,,,,,,,,,135,4.905274778,,,,,,,,,,,,,,,13,2.564949357,,,,,,,,,,,,,,,0,0,0
06/01/2012,5241,8.564267599,,,,,,,,,,,3506,8.162231065,,,,,,,,,,,8.2,2.104134154,,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,77.12916667,4.345481506,,,,,,,,,,,,,,,9.375,2.238046572,,,,,,,,,,,,,,,28927,10.27253069,,,,,,,,,,,,,,,18,2.890371758,,,,,,,,,,,,,,,90,4.49980967,,,,,,,,,,,,,,,15,2.708050201,,,,,,,,,,,,,,,0,0,0
07/01/2012,2468,7.811163385,,,,,,,,,,,5300,8.5754621,,,,,,,,,,,10.9,2.388762789,,,,,,,,,,,-3.25,,,-0.290269396,0,0,0,0,0,0,0,,,-10.6,71.6875,4.272316395,,,,,,,,,,,-14.93333333,,,-0.182656996,12.08333333,2.491827092,,,,,,,,,,,-0.208333333,,,-0.023420274,29025,10.27591281,,,,,,,,,,,604,,,0.020954073,23,3.135494216,,,,,,,,,,,-19,,,-0.720546155,93,4.532599493,,,,,,,,,,,55,,,0.980829253,13,2.564949357,,,,,,,,,,,3,,,0.287682072,0,0,0
08/01/2012,1958,7.579678823,,,,,,,1354,,1.176104625,,4422,8.394347361,,,,,,,1290,,0.344920304,,9.65,2.266957915,,,,,,,,,-3.25,,2.5,-0.290269396,,0.247562079,0,0,0,1,0,0,0,-10.6,,0.2,74.51666667,4.311022814,,,,,,,,,-14.93333333,,4.625,-0.182656996,,0.056428874,8.791666667,2.173804303,,,,,,,,,-0.208333333,,-2.043478261,-0.023420274,,-0.20551332,29128,10.27945519,,,,,,,,,604,,645,0.020954073,,0.022308072,18,2.890371758,,,,,,,,,-19,,-28,-0.720546155,,-1.413693335,88,4.477336814,,,,,,,,,55,,38,0.980829253,,0.693147181,12,2.48490665,,,,,,,,,3,,5,0.287682072,,0.441832752,0,0,0
09/01/2012,6031,8.704668113,,,,,,,4519,1354,1.383479557,1.176104625,3204,8.072155308,,,,,,,-1311,1290,-0.343005158,0.344920304,11.4,2.433613355,,,,,,,,,2.5,-3.25,-1.1,0.247562079,-0.290269396,-0.093287934,0.2,1,0,0,0,0,0,0.2,-10.6,-8,84.29583333,4.434332437,,,,,,,,,4.625,-14.93333333,4.90833334,0.056428874,-0.182656996,0.058667556,8.956521739,2.192381953,,,,,,,,,-2.043478261,-0.208333333,-9.20108696,-0.20551332,-0.023420274,-0.725997981,29237,10.28319031,,,,,,,,,645,604,684,0.022308072,0.020954073,0.023579982,9,2.197224577,,,,,,,,,-28,-19,-32,-1.413693335,-0.720546155,-1.189584067,76,4.33073334,,,,,,,,,38,55,28,0.693147181,0.980829253,0.587786665,14,2.63905733,,,,,,,,,5,3,0,0.441832752,0.287682072,0,0,0,0
10/01/2012,6311,8.750049422,,,,,,,2938,4519,0.626491587,1.383479557,3355,8.118207049,,,,,,,1860,-1311,0.808325564,-0.343005158,11.25,2.420368129,,,,,,,,,-1.1,2.5,3.3,-0.093287934,0.247562079,0.349051019,0,0,1,1,0,0,0,-8,0.2,-3.4,86.14166667,4.455993228,,,,,,,,,4.90833334,4.625,5.55,0.058667556,0.056428874,0.069125401,8.625,2.154664963,,,,,,,,,-9.20108696,-2.043478261,-7.25,-0.725997981,-0.20551332,-0.572861015,29351,10.2870819,,,,,,,,,684,645,723,0.023579982,0.022308072,0.024838529,14,2.63905733,,,,,,,,,-32,-28,-20,-1.189584067,-1.413693335,-0.747214402,63,4.143134726,,,,,,,,,28,38,22,0.587786665,0.693147181,0.390866309,11,2.397895273,,,,,,,,,0,5,2,0,0.441832752,0.167054085,0,0,0
